iter	Passed	Remaining
0	87	87438
1	107	53661
2	124	41312
3	142	35595
4	153	30618
5	171	28492
6	185	26352
7	204	25337
8	244	26904
9	255	25306
10	267	24008
11	277	22854
12	289	22009
13	302	21314
14	319	21009
15	334	20560
16	347	20113
17	360	19658
18	371	19204
19	384	18859
20	397	18515
21	408	18176
22	420	17867
23	431	17559
24	444	17322
25	456	17086
26	467	16846
27	478	16627
28	490	16439
29	504	16313
30	517	16161
31	529	16013
32	551	16150
33	565	16056
34	575	15867
35	584	15648
36	593	15443
37	603	15268
38	612	15080
39	620	14886
40	628	14700
41	637	14551
42	646	14382
43	655	14250
44	664	14109
45	673	13969
46	682	13828
47	697	13840
48	709	13779
49	724	13760
50	737	13728
51	748	13639
52	757	13536
53	767	13440
54	775	13322
55	783	13205
56	792	13112
57	801	13021
58	810	12924
59	819	12843
60	827	12736
61	837	12663
62	846	12585
63	855	12504
64	863	12428
65	873	12361
66	882	12283
67	891	12217
68	902	12175
69	914	12144
70	925	12108
71	938	12090
72	948	12043
73	958	12000
74	968	11947
75	977	11888
76	985	11816
77	994	11750
78	1003	11700
79	1011	11630
80	1021	11585
81	1029	11529
82	1043	11525
83	1054	11494
84	1064	11454
85	1075	11425
86	1084	11385
87	1095	11350
88	1105	11314
89	1115	11283
90	1130	11297
91	1144	11294
92	1155	11271
93	1165	11233
94	1174	11185
95	1182	11132
96	1191	11095
97	1201	11057
98	1210	11019
99	1219	10978
100	1230	10949
101	1239	10915
102	1249	10880
103	1260	10863
104	1272	10846
105	1283	10822
106	1294	10801
107	1307	10798
108	1320	10795
109	1332	10782
110	1348	10796
111	1363	10806
112	1378	10819
113	1391	10814
114	1402	10794
115	1415	10783
116	1433	10816
117	1454	10875
118	1471	10896
119	1491	10937
120	1506	10941
121	1529	11007
122	1544	11013
123	1562	11037
124	1574	11024
125	1588	11018
126	1602	11015
127	1614	11000
128	1626	10984
129	1638	10967
130	1653	10965
131	1667	10966
132	1681	10961
133	1690	10927
134	1705	10930
135	1719	10923
136	1734	10923
137	1749	10926
138	1764	10930
139	1780	10939
140	1796	10945
141	1811	10946
142	1824	10931
143	1835	10910
144	1850	10913
145	1865	10913
146	1882	10922
147	1895	10910
148	1905	10881
149	1916	10858
150	1929	10850
151	1943	10841
152	1959	10845
153	1973	10843
154	1984	10819
155	1993	10784
156	2001	10747
157	2010	10715
158	2027	10722
159	2038	10702
160	2051	10692
161	2064	10677
162	2075	10659
163	2085	10628
164	2094	10601
165	2103	10568
166	2113	10544
167	2125	10524
168	2136	10507
169	2154	10517
170	2174	10543
171	2199	10589
172	2219	10612
173	2230	10589
174	2247	10594
175	2265	10606
176	2279	10598
177	2299	10621
178	2317	10627
179	2334	10633
180	2364	10698
181	2386	10725
182	2414	10780
183	2437	10807
184	2457	10827
185	2470	10809
186	2480	10784
187	2489	10754
188	2498	10721
189	2519	10740
190	2529	10714
191	2542	10700
192	2555	10686
193	2569	10675
194	2585	10674
195	2595	10645
196	2605	10622
197	2616	10598
198	2626	10573
199	2638	10553
200	2651	10538
201	2670	10549
202	2686	10549
203	2716	10599
204	2741	10632
205	2765	10660
206	2783	10662
207	2814	10715
208	2841	10752
209	2857	10749
210	2868	10725
211	2878	10700
212	2890	10679
213	2906	10676
214	2916	10649
215	2925	10619
216	2934	10590
217	2947	10571
218	2959	10552
219	2972	10539
220	2987	10531
221	3000	10515
222	3010	10488
223	3030	10499
224	3048	10501
225	3068	10508
226	3091	10525
227	3103	10507
228	3127	10528
229	3163	10589
230	3186	10606
231	3210	10627
232	3225	10619
233	3244	10619
234	3257	10605
235	3268	10581
236	3278	10553
237	3289	10530
238	3298	10501
239	3307	10475
240	3316	10446
241	3325	10417
242	3335	10391
243	3344	10363
244	3353	10334
245	3364	10313
246	3376	10292
247	3386	10268
248	3396	10243
249	3417	10252
250	3446	10284
251	3473	10310
252	3489	10303
253	3518	10334
254	3544	10354
255	3571	10379
256	3594	10392
257	3623	10419
258	3647	10434
259	3674	10457
260	3699	10475
261	3723	10489
262	3738	10477
263	3750	10456
264	3762	10435
265	3773	10413
266	3789	10403
267	3807	10400
268	3826	10397
269	3842	10389
270	3855	10371
271	3878	10381
272	3892	10365
273	3921	10390
274	3938	10383
275	3957	10382
276	3990	10414
277	4010	10415
278	4039	10439
279	4059	10439
280	4085	10452
281	4105	10452
282	4122	10444
283	4132	10418
284	4142	10391
285	4150	10361
286	4159	10333
287	4167	10303
288	4176	10275
289	4185	10246
290	4198	10228
291	4208	10204
292	4218	10180
293	4235	10171
294	4245	10147
295	4256	10123
296	4265	10097
297	4273	10068
298	4283	10041
299	4291	10013
300	4300	9986
301	4309	9960
302	4319	9936
303	4329	9911
304	4338	9886
305	4348	9862
306	4358	9837
307	4368	9814
308	4379	9793
309	4388	9768
310	4400	9748
311	4412	9729
312	4422	9707
313	4433	9685
314	4448	9673
315	4460	9654
316	4469	9630
317	4490	9630
318	4500	9608
319	4510	9583
320	4519	9560
321	4528	9534
322	4537	9511
323	4547	9487
324	4555	9461
325	4564	9437
326	4574	9414
327	4587	9399
328	4597	9376
329	4610	9360
330	4620	9338
331	4636	9328
332	4649	9313
333	4659	9290
334	4668	9267
335	4677	9244
336	4689	9226
337	4700	9206
338	4709	9182
339	4718	9159
340	4728	9138
341	4737	9115
342	4748	9094
343	4757	9073
344	4767	9051
345	4779	9034
346	4790	9014
347	4800	8994
348	4810	8974
349	4824	8959
350	4835	8940
351	4847	8924
352	4864	8916
353	4873	8893
354	4883	8872
355	4892	8849
356	4902	8830
357	4911	8808
358	4922	8788
359	4932	8768
360	4941	8746
361	4951	8726
362	4960	8704
363	4970	8685
364	4979	8662
365	4993	8650
366	5004	8631
367	5017	8617
368	5029	8601
369	5041	8584
370	5059	8577
371	5069	8557
372	5078	8537
373	5088	8516
374	5097	8496
375	5106	8474
376	5115	8454
377	5125	8433
378	5133	8411
379	5143	8391
380	5150	8368
381	5159	8347
382	5167	8324
383	5174	8301
384	5183	8280
385	5192	8258
386	5201	8239
387	5210	8219
388	5222	8202
389	5232	8184
390	5244	8168
391	5255	8151
392	5270	8140
393	5280	8122
394	5293	8107
395	5304	8090
396	5317	8076
397	5336	8071
398	5360	8074
399	5381	8072
400	5395	8060
401	5413	8053
402	5425	8037
403	5438	8022
404	5453	8012
405	5487	8028
406	5506	8022
407	5532	8027
408	5550	8020
409	5566	8010
410	5577	7992
411	5587	7974
412	5597	7955
413	5606	7936
414	5616	7916
415	5625	7898
416	5642	7888
417	5653	7871
418	5668	7860
419	5682	7847
420	5692	7829
421	5702	7809
422	5712	7792
423	5721	7772
424	5732	7755
425	5742	7737
426	5756	7724
427	5776	7720
428	5792	7709
429	5805	7695
430	5824	7688
431	5839	7678
432	5857	7670
433	5874	7661
434	5898	7661
435	5920	7658
436	5937	7649
437	5956	7642
438	5983	7646
439	6007	7646
440	6025	7637
441	6046	7632
442	6057	7616
443	6069	7600
444	6083	7587
445	6098	7575
446	6108	7556
447	6119	7540
448	6130	7522
449	6140	7505
450	6149	7485
451	6157	7465
452	6166	7446
453	6178	7430
454	6186	7410
455	6197	7393
456	6206	7374
457	6222	7363
458	6240	7355
459	6269	7360
460	6290	7354
461	6314	7353
462	6334	7346
463	6350	7336
464	6373	7332
465	6396	7329
466	6409	7315
467	6423	7301
468	6437	7288
469	6472	7299
470	6488	7287
471	6512	7285
472	6532	7278
473	6549	7268
474	6565	7256
475	6575	7238
476	6586	7221
477	6596	7204
478	6607	7186
479	6616	7167
480	6631	7154
481	6649	7146
482	6664	7133
483	6687	7129
484	6697	7112
485	6713	7099
486	6730	7089
487	6747	7079
488	6766	7070
489	6788	7065
490	6803	7053
491	6825	7047
492	6849	7043
493	6873	7040
494	6897	7037
495	6920	7031
496	6937	7021
497	6963	7019
498	6980	7008
499	6991	6991
500	7001	6973
501	7012	6956
502	7022	6938
503	7032	6921
504	7047	6907
505	7060	6892
506	7085	6890
507	7106	6882
508	7124	6872
509	7141	6861
510	7155	6847
511	7174	6838
512	7197	6832
513	7225	6831
514	7251	6829
515	7272	6821
516	7293	6813
517	7320	6811
518	7340	6803
519	7359	6793
520	7377	6783
521	7394	6770
522	7405	6754
523	7415	6736
524	7425	6718
525	7438	6703
526	7454	6690
527	7465	6674
528	7477	6657
529	7487	6639
530	7497	6621
531	7506	6603
532	7516	6585
533	7527	6569
534	7538	6552
535	7549	6535
536	7560	6519
537	7579	6508
538	7595	6496
539	7615	6487
540	7634	6477
541	7661	6473
542	7677	6461
543	7703	6456
544	7729	6453
545	7753	6446
546	7772	6436
547	7784	6421
548	7796	6404
549	7815	6394
550	7829	6380
551	7846	6367
552	7857	6351
553	7868	6334
554	7877	6316
555	7888	6299
556	7895	6279
557	7905	6262
558	7916	6245
559	7927	6228
560	7943	6216
561	7956	6200
562	7968	6185
563	7984	6172
564	8015	6171
565	8047	6170
566	8081	6171
567	8107	6166
568	8121	6151
569	8148	6147
570	8170	6138
571	8182	6122
572	8209	6117
573	8230	6108
574	8245	6094
575	8267	6085
576	8277	6068
577	8308	6066
578	8337	6062
579	8355	6050
580	8391	6051
581	8415	6044
582	8441	6037
583	8457	6024
584	8487	6020
585	8509	6011
586	8521	5995
587	8534	5980
588	8556	5970
589	8585	5965
590	8600	5952
591	8622	5942
592	8650	5937
593	8675	5930
594	8700	5921
595	8712	5905
596	8726	5890
597	8741	5876
598	8778	5877
599	8800	5866
600	8819	5855
601	8832	5839
602	8852	5828
603	8870	5815
604	8880	5798
605	8890	5780
606	8900	5762
607	8909	5744
608	8918	5725
609	8933	5711
610	8942	5693
611	8950	5674
612	8960	5656
613	8969	5638
614	8981	5622
615	8991	5605
616	9001	5587
617	9012	5570
618	9023	5554
619	9036	5538
620	9060	5529
621	9076	5515
622	9094	5503
623	9112	5490
624	9126	5475
625	9138	5459
626	9156	5446
627	9166	5429
628	9194	5423
629	9214	5411
630	9232	5398
631	9244	5383
632	9265	5372
633	9281	5358
634	9344	5371
635	9368	5361
636	9381	5346
637	9398	5332
638	9420	5322
639	9435	5307
640	9454	5295
641	9470	5281
642	9481	5264
643	9493	5247
644	9501	5229
645	9511	5212
646	9519	5193
647	9528	5175
648	9535	5157
649	9543	5138
650	9552	5121
651	9561	5103
652	9570	5085
653	9579	5067
654	9588	5050
655	9597	5032
656	9608	5016
657	9619	5000
658	9629	4983
659	9641	4966
660	9659	4953
661	9669	4936
662	9678	4919
663	9690	4903
664	9700	4886
665	9710	4869
666	9719	4852
667	9728	4835
668	9738	4818
669	9748	4801
670	9757	4784
671	9765	4766
672	9774	4749
673	9783	4732
674	9791	4714
675	9802	4698
676	9813	4681
677	9823	4665
678	9834	4649
679	9849	4635
680	9864	4620
681	9875	4604
682	9884	4587
683	9896	4572
684	9915	4559
685	9926	4543
686	9936	4527
687	9945	4510
688	9953	4492
689	9962	4475
690	9971	4459
691	9979	4441
692	9988	4424
693	9995	4407
694	10005	4390
695	10015	4374
696	10024	4357
697	10034	4341
698	10080	4341
699	10092	4325
700	10103	4309
701	10116	4294
702	10127	4278
703	10139	4263
704	10149	4246
705	10160	4230
706	10173	4216
707	10182	4199
708	10191	4182
709	10199	4166
710	10210	4150
711	10220	4134
712	10229	4117
713	10239	4101
714	10251	4086
715	10269	4073
716	10278	4056
717	10288	4040
718	10296	4024
719	10304	4007
720	10312	3990
721	10319	3973
722	10327	3956
723	10337	3940
724	10346	3924
725	10356	3908
726	10365	3892
727	10373	3875
728	10382	3859
729	10390	3843
730	10414	3832
731	10426	3817
732	10439	3802
733	10450	3787
734	10463	3772
735	10479	3758
736	10488	3742
737	10498	3727
738	10507	3711
739	10517	3695
740	10526	3679
741	10535	3663
742	10543	3646
743	10552	3631
744	10561	3614
745	10569	3598
746	10579	3583
747	10587	3566
748	10596	3551
749	10605	3535
750	10617	3520
751	10628	3505
752	10638	3489
753	10647	3473
754	10658	3458
755	10671	3444
756	10685	3430
757	10695	3414
758	10704	3398
759	10712	3382
760	10722	3367
761	10729	3351
762	10739	3335
763	10748	3320
764	10757	3304
765	10766	3289
766	10775	3273
767	10783	3257
768	10792	3241
769	10801	3226
770	10810	3210
771	10820	3195
772	10832	3180
773	10841	3165
774	10852	3150
775	10862	3135
776	10879	3122
777	10889	3107
778	10903	3093
779	10912	3077
780	10921	3062
781	10931	3047
782	10940	3032
783	10949	3016
784	10958	3001
785	10967	2985
786	10975	2970
787	10984	2955
788	10993	2940
789	11002	2924
790	11011	2909
791	11021	2894
792	11033	2880
793	11043	2865
794	11052	2850
795	11062	2835
796	11079	2821
797	11090	2807
798	11099	2792
799	11109	2777
800	11117	2762
801	11131	2748
802	11140	2732
803	11147	2717
804	11156	2702
805	11165	2687
806	11172	2672
807	11181	2656
808	11190	2642
809	11198	2626
810	11206	2611
811	11215	2596
812	11227	2582
813	11237	2567
814	11247	2553
815	11259	2538
816	11269	2524
817	11284	2510
818	11297	2496
819	11307	2482
820	11316	2467
821	11325	2452
822	11334	2437
823	11342	2422
824	11351	2407
825	11358	2392
826	11367	2377
827	11383	2364
828	11394	2350
829	11404	2335
830	11413	2321
831	11423	2306
832	11436	2292
833	11448	2278
834	11459	2264
835	11471	2250
836	11482	2236
837	11499	2223
838	11510	2208
839	11520	2194
840	11529	2179
841	11537	2165
842	11546	2150
843	11557	2136
844	11565	2121
845	11574	2106
846	11583	2092
847	11591	2077
848	11603	2063
849	11612	2049
850	11621	2034
851	11630	2020
852	11641	2006
853	11653	1992
854	11663	1977
855	11673	1963
856	11684	1949
857	11696	1935
858	11709	1921
859	11718	1907
860	11727	1893
861	11737	1879
862	11746	1864
863	11755	1850
864	11764	1836
865	11772	1821
866	11782	1807
867	11792	1793
868	11801	1779
869	11812	1765
870	11824	1751
871	11833	1737
872	11844	1723
873	11858	1709
874	11869	1695
875	11884	1682
876	11897	1668
877	11911	1655
878	11928	1642
879	11945	1628
880	11962	1615
881	11982	1603
882	12002	1590
883	12032	1578
884	12054	1566
885	12074	1553
886	12090	1540
887	12102	1526
888	12113	1512
889	12128	1499
890	12143	1485
891	12158	1472
892	12172	1458
893	12181	1444
894	12195	1430
895	12214	1417
896	12229	1404
897	12242	1390
898	12261	1377
899	12280	1364
900	12291	1350
901	12307	1337
902	12323	1323
903	12343	1310
904	12359	1297
905	12386	1285
906	12409	1272
907	12433	1259
908	12461	1247
909	12484	1234
910	12499	1221
911	12512	1207
912	12526	1193
913	12541	1180
914	12553	1166
915	12571	1152
916	12591	1139
917	12620	1127
918	12646	1114
919	12670	1101
920	12691	1088
921	12707	1075
922	12720	1061
923	12732	1047
924	12758	1034
925	12786	1021
926	12805	1008
927	12823	994
928	12833	980
929	12842	966
930	12852	952
931	12867	938
932	12880	924
933	12891	910
934	12902	896
935	12914	883
936	12925	869
937	12944	855
938	12965	842
939	12982	828
940	12998	814
941	13021	801
942	13030	787
943	13044	773
944	13065	760
945	13098	747
946	13118	734
947	13130	720
948	13141	706
949	13153	692
950	13176	678
951	13187	664
952	13203	651
953	13214	637
954	13224	623
955	13234	609
956	13244	595
957	13254	581
958	13265	567
959	13278	553
960	13309	540
961	13323	526
962	13337	512
963	13357	498
964	13378	485
965	13404	471
966	13422	458
967	13471	445
968	13496	431
969	13524	418
970	13547	404
971	13565	390
972	13579	376
973	13592	362
974	13604	348
975	13622	334
976	13644	321
977	13656	307
978	13668	293
979	13679	279
980	13693	265
981	13712	251
982	13731	237
983	13756	223
984	13769	209
985	13781	195
986	13793	181
987	13808	167
988	13834	153
989	13853	139
990	13873	125
991	13898	112
992	13913	98
993	13926	84
